ID ID_BURGDORF NAME LOCATION PROXY LON LAT SEAS VARIABLE UNIT PERIOD_START PERIOD_END N REF_PERIOD_START REF_PERIOD_END REFDATA MODEL CORREL PVAL
235 571 Ice_phenology_Sarapul_Kama_River_break-up Sarapul Kama_River 53.81667 56.46667 latespring break_up_date DOY 1829 1879 44 1829 1879 BEST MarApr 0.8012599 7.15e-10
236 NA Ice_phenology_Sarapul_Kama_River_freeze-up Sarapul Kama_River 53.81667 56.46667 earlywinter freeze_up_date DOY 1826 1860 14 NA NA NA none NA NA
237 568 Ice_phenology_Usolye_Kama_River_break-up Usolye Kama_River 56.55 59.43333 latespring break_up_date DOY 1812 1854 41 1812 1854 BEST FebMarApr 0.7681534 2.65e-07
238 567 Ice_phenology_Usolye_Kama_River_freeze-up Usolye Kama_River 56.55 59.43333 earlywinter freeze_up_date DOY 1812 1854 34 NA NA NA none NA NA
239 573 Ice_phenology_Yelabuga_Kama_River_break-up Yelabuga Kama_River 52.06667 55.75 latespring break_up_date DOY 1816 1879 55 1816 1879 BEST MarApr 0.7359802 1.55e-09
240 572 Ice_phenology_Yelabuga_Kama_River_freeze-up Yelabuga Kama_River 52.06667 55.75 earlywinter freeze_up_date DOY 1816 1879 54 1816 1879 BEST Jul 0.4194323 0.00159
241 574 Ice_phenology_Pori_Kokemaenjoki_River_break-up Pori Kokemaenjoki_River 21.8 61.48333 latespring break_up_date DOY 1801 1875 60 1801 1875 BEST FebMarApr 0.8495122 2.73e-15
242 NA Ice_phenology_Pori_Kokemaenjoki_River_freeze-up Pori Kokemaenjoki_River 21.8 61.48333 earlywinter freeze_up_date DOY 1816 1855 16 NA NA NA none NA NA
243 575 Ice_phenology_Isokyroe_Kyroenjoki_River_break-up Isokyroe Kyroenjoki_River 22.33333 63 latespring break_up_date DOY 1739 1855 114 1801 1855 BEST JanApr 0.8736035 1.12e-16
244 NA Ice_phenology_Isokyroe_Kyroenjoki_River_freeze-up Isokyroe Kyroenjoki_River 22.33333 63 earlywinter freeze_up_date DOY 1831 1840 10 NA NA NA none NA NA
245 541 Ice_phenology_Vallapalu_Lake_Vortsjaerv_break-up Vallapalu Lake_Vortsjaerv 26.16667 58.25 latespring break_up_date DOY 1845 1879 35 NA NA NA none NA NA
246 540 Ice_phenology_Vallapalu_Lake_Vortsjaerv_freeze-up Vallapalu Lake_Vortsjaerv 26.16667 58.25 earlywinter freeze_up_date DOY 1845 1879 35 NA NA NA none NA NA
253 581 Ice_phenology_Palema_Lusu_River_break-up Palema Lusu_River 46.88333 60.61667 latespring break_up_date DOY 1849 1878 30 1849 1878 BEST Apr 0.425398 0.0191
254 NA Ice_phenology_Palema_Lusu_River_freeze-up Palema Lusu_River 46.88333 60.61667 earlywinter freeze_up_date DOY 1849 1877 29 NA NA NA none NA NA
257 585 Ice_phenology_Narva_Narva_River_break-up Narva Narva_River 28.2 59.38333 latespring break_up_date DOY 1837 1879 35 1837 1879 BEST MarApr 0.78247 2.61e-07
258 584 Ice_phenology_Narva_Narva_River_freeze-up Narva Narva_River 28.2 59.38333 earlywinter freeze_up_date DOY 1837 1879 35 1837 1879 BEST JulAugSep 0.4499353 0.0681
265 591 Ice_phenology_Salekhard_Ob_River_break-up Salekhard Ob_River 66.6 66.51667 latespring break_up_date DOY 1836 1903 57 1836 1903 BEST May 0.5133474 4.44e-05
266 590 Ice_phenology_Salekhard_Ob_River_freeze-up Salekhard Ob_River 66.6 66.51667 earlywinter freeze_up_date DOY 1836 1903 57 NA NA NA none NA NA
267 592 Ice_phenology_Surgut_Ob_River_break-up Surgut Ob_River 73.3 61.233 latespring break_up_date DOY 1833 1905 55 1833 1905 BEST MarAprMay 0.7855642 1.07e-10
268 NA Ice_phenology_Surgut_Ob_River_freeze-up Surgut Ob_River 73.3 61.233 earlywinter freeze_up_date DOY 1859 1905 40 1859 1905 BEST JunSep 0.5494358 0.0013
269 596 Ice_phenology_Kagula_Oka_River_break-up Kagula Oka_River 36.25 54.5 latespring break_up_date DOY 1838 1879 29 1838 1879 BEST Mar 0.5676723 0.00132
270 595 Ice_phenology_Kagula_Oka_River_freeze-up Kagula Oka_River 36.25 54.5 earlywinter freeze_up_date DOY 1838 1879 29 1838 1879 BEST Nov 0.2992 0.115
273 598 Ice_phenology_Nizhny_Novgorod_Oka_River_break-up_2 Nizhny_Novgorod Oka_River 44.01667 56.33333 latespring break_up_date DOY 1860 1879 20 NA NA NA none NA NA
274 597 Ice_phenology_Nizhny_Novgorod_Oka_River_freeze-up_2 Nizhny_Novgorod Oka_River 44.01667 56.33333 earlywinter freeze_up_date DOY 1860 1878 19 NA NA NA none NA NA
275 594 Ice_phenology_Oryol_Oka_River_break-up Oryol Oka_River 36.1 52.95 latespring break_up_date DOY 1810 1879 43 1810 1879 BEST DecMar 0.4974309 0.003395088
276 593 Ice_phenology_Oryol_Oka_River_freeze-up Oryol Oka_River 36.1 52.95 earlywinter freeze_up_date DOY 1810 1879 37 1810 1879 BEST Nov 0.2868662 0.0852
277 603 Ice_phenology_Omsk_Om_River_break-up Omsk Om_River 73.41667 54.9833 latespring break_up_date DOY 1820 1904 63 1820 1904 BEST FebMarApr 0.5626729 4.79e-05
278 602 Ice_phenology_Omsk_Om_River_freeze-up Omsk Om_River 73.41667 54.9833 earlywinter freeze_up_date DOY 1829 1905 69 1829 1905 BEST JunNov 0.2879335 0.0575
281 604 Ice_phenology_Onega_Onega_River_break-up_2 Onega Onega_River 38.1333 63.9 latespring break_up_date DOY 1825 1848 24 1825 1848 BEST Apr 0.8041426 2.19e-06
282 NA Ice_phenology_Onega_Onega_River_freeze-up_2 Onega Onega_River 38.1333 63.9 earlywinter freeze_up_date DOY 1825 1847 23 NA NA NA none NA NA
283 605 Ice_phenology_Petrozadodsk_Onega_River_break-up Petrozadodsk Onega_River 34.4 61.78333 latespring break_up_date DOY 1816 1870 34 1816 1870 BEST DecApr 0.6780825 7.16e-05
284 NA Ice_phenology_Petrozadodsk_Onega_River_freeze-up Petrozadodsk Onega_River 34.4 61.78333 earlywinter freeze_up_date DOY 1816 1870 19 NA NA NA none NA NA
285 600 Ice_phenology_Posad_Onega_River_break-up Posad Onega_River 39.25 63.11667 latespring break_up_date DOY 1825 1854 30 1825 1854 BEST Apr 0.4589559 0.01073858
286 599 Ice_phenology_Posad_Onega_River_freeze-up Posad Onega_River 39.25 63.11667 earlywinter freeze_up_date DOY 1824 1854 31 1824 1854 BEST Sep 0.3488254 0.0544
293 608 Ice_phenology_Novoselenginsk_Selenge_River_break-up Novoselenginsk Selenge_River 106.9 51.1 latespring break_up_date DOY 1837 1896 35 1837 1896 BEST Apr 0.4072299 0.0151827
294 607 Ice_phenology_Novoselenginsk_Selenge_River_freeze-up Novoselenginsk Selenge_River 106.9 51.1 earlywinter freeze_up_date DOY 1837 1896 37 NA NA NA none NA NA
295 627 Ice_phenology_Slonim_Shchara_River_break-up Slonim Shchara_River 25.33333 53.1 latespring break_up_date DOY 1838 1880 31 1838 1880 BEST NovFebMar 0.7936067 5.14e-06
296 626 Ice_phenology_Slonim_Shchara_River_freeze-up Slonim Shchara_River 25.33333 53.1 earlywinter freeze_up_date DOY 1838 1881 32 1838 1881 BEST Oct 0.3335398 0.06210545
299 629 Ice_phenology_Kazaly_SyrDalya_River_break-up Kazaly SyrDalya_River 62.033 45.7667 latespring break_up_date DOY 1849 1902 40 1849 1902 BEST FebMar 0.6237127 0.00011
300 628 Ice_phenology_Kazaly_SyrDalya_River_freeze-up Kazaly SyrDalya_River 62.033 45.7667 earlywinter freeze_up_date DOY 1848 1902 37 NA NA NA none NA NA
303 618 Ice_phenology_Shuya_Teza_River_break-up Shuya Teza_River 41.4 56.85 latespring break_up_date DOY 1838 1878 41 1838 1878 BEST JanFebMar 0.5359255 0.00536
304 617 Ice_phenology_Shuya_Teza_River_freeze-up Shuya Teza_River 41.4 56.85 earlywinter freeze_up_date DOY 1838 1878 41 NA NA NA none NA NA
305 620 Ice_phenology_Tomsk_Tom_River_break-up Tomsk Tom_River 84.96667 56.5 latespring break_up_date DOY 1830 1905 63 1830 1905 BEST MarAprMay 0.7610758 3.88e-11
306 619 Ice_phenology_Tomsk_Tom_River_freeze-up Tomsk Tom_River 84.96667 56.5 earlywinter freeze_up_date DOY 1830 1905 51 NA NA NA none NA NA
311 624 Ice_phenology_Orenburg_Ural_River_break-up Orenburg Ural_River 55.11667 51.75 latespring break_up_date DOY 1843 1878 36 NA NA NA none NA NA
312 623 Ice_phenology_Orenburg_Ural_River_freeze-up Orenburg Ural_River 55.11667 51.75 earlywinter freeze_up_date DOY 1844 1878 35 1844 1878 BEST Sep 0.4359172 0.00885
313 631 Ice_phenology_Vortsjaerv_Vaeike_Emajogi_River_break-up Vortsjaerv Vaeike_Emajogi_River 26.06094 58.09718 latespring break_up_date DOY 1845 1879 35 NA NA NA none NA NA
314 630 Ice_phenology_Vortsjaerv_Vaeike_Emajogi_River_freeze-up Vortsjaerv Vaeike_Emajogi_River 26.06094 58.09718 earlywinter freeze_up_date DOY 1845 1879 35 NA NA NA none NA NA
317 511 Ice_phenology_Verkhovasje_Vaga_River_break-up Verkhovasje Vaga_River 42.05 60.75 latespring break_up_date DOY 1800 1858 37 1802 1858 BEST Apr 0.7186312 7.97e-07
323 515 Ice_phenology_Velsk_Vel_River_break-up_2 Velsk Vel_River 42.11667 61.08333 latespring break_up_date DOY 1868 1878 11 NA NA NA none NA NA
